source,target,night_tram,night_bus,d .875
Chwałkowska,Jędrzejowska,,88.375,255.5625,,88.375,255.5625
Chwałkowska,Wełniana,,105.5,252.25,,105.5,252.25
Chłodna,Sowia,,78.5,170.4375,,78.5,170.4375
Chłodna,Wawrzyniaka,,81.75,172.6875,,81.75,172.6875
Ciechocińska,Stabłowice,,38.125,115.5,,38.125,115.5
Ciechocińska,Wojanowska,,19.375,,,19.375,0.0
Ciechocińska,Śnieżna,,57.5,113.5625,,57.5,113.5625
Cynamonowa,Tymiankowa,,87.25,173.0625,,87.25,173.0625
Cynamonowa,Waniliowa,,87.25,173.0625,,87.25,173.0625
Czajkowskiego,KOSZAROWA (Uniwersytet),,16.5,108.1875,,16.5,108.1875
Czajkowskiego,Koszarowa,,64.875,149.0,,64.875,149.0
Czajkowskiego,Kromera (Czajkowskiego),,80.5,206.0,,80.5,206.0
Czerna,Wilkostów,,,4.125,,0.0,4.125
DH Astra,Kolista,,17.125,81.5,,17.125,81.5
DH Astra,Kwiska,167.375,20.125,,681.625,187.5,681.625
DH Astra,Park Zachodni,188.75,37.75,83.4375,670.9375,226.5,754.375
DW. ŚWIEBODZKI,Robotnicza,,58.125,85.375,,58.125,85.375
DW. ŚWIEBODZKI,pl. Orląt Lwowskich,,101.25,304.375,,101.25,304.375
DWORCOWA,DWORZEC GŁÓWNY,,50.875,179.8125,,50.875,179.8125
DWORCOWA,Dworzec Główny (Stawowa),,6.625,8.0,,6.625,8.0
DWORCOWA,Kościuszki,,39.125,119.125,,39.125,119.125
DWORCOWA,Krasińskiego,,85.125,370.375,,85.125,370.375
DWORCOWA,Wzgórze Partyzantów,,54.625,219.5625,,54.625,219.5625
DWORZEC AUTOBUSOWY,Borowska,,24.875,90.0625,,24.875,90.0625
DWORZEC AUTOBUSOWY,DWORZEC AUTOBUSOWY,,130.0,237.0625,,130.0,237.0625
DWORZEC AUTOBUSOWY,DWORZEC GŁÓWNY,86.875,469.625,693.375,246.5,556.5,939.875
DWORZEC AUTOBUSOWY,Dworzec Główny (Stawowa),205.375,,,381.625,205.375,381.625
DWORZEC AUTOBUSOWY,Dyrekcyjna,,514.25,342.3125,,514.25,342.3125
DWORZEC AUTOBUSOWY,EPI,,226.75,219.25,,226.75,219.25
DWORZEC AUTOBUSOWY,Hubska (Dawida),,71.25,227.75,,71.25,227.75
DWORZEC AUTOBUSOWY,Joannitów,113.875,,,370.3125,113.875,370.3125
DWORZEC AUTOBUSOWY,PETRUSEWICZA,,22.125,129.4375,,22.125,129.4375
DWORZEC AUTOBUSOWY,Sanocka,143.25,,,275.9375,143.25,275.9375
DWORZEC GŁÓWNY,Arkady (Capitol),87.875,100.75,,388.1875,188.625,388.1875
DWORZEC GŁÓWNY,DWORCOWA,,35.375,181.75,,35.375,181.75
DWORZEC GŁÓWNY,DWORZEC AUTOBUSOWY,83.0,428.375,691.1875,252.0,511.375,943.1875
DWORZEC GŁÓWNY,DWORZEC GŁÓWNY,85.75,263.0,130.75,250.625,348.75,381.375
DWORZEC GŁÓWNY,Dworzec Główny (Stawowa),,,1.375,,0.0,1.375
DWORZEC GŁÓWNY,EPI,,3.875,,,3.875,0.0
DWORZEC GŁÓWNY,GALERIA DOMINIKAŃSKA,,43.125,229.6875,,43.125,229.6875
DWORZEC GŁÓWNY,Kościuszki,,31.0,,,31.0,0.0
DWORZEC GŁÓWNY,Pułaskiego,198.375,,,627.8125,198.375,627.8125
DWORZEC GŁÓWNY,Wzgórze Partyzantów,,253.375,134.875,,253.375,134.875
DWORZEC NADODRZE,DWORZEC NADODRZE,300.375,7.75,,768.3125,308.125,768.3125
DWORZEC NADODRZE,PL. STASZICA,,69.5,337.25,,69.5,337.25
DWORZEC NADODRZE,Paulińska,135.5,102.75,119.0,366.75,238.25,485.75
DWORZEC NADODRZE,Słowiańska,205.75,27.125,,400.25,232.875,400.25
DWORZEC NADODRZE,Trzebnicka,197.5,143.5,320.25,739.1875,341.0,1059.4375
Damrota,KROMERA,,111.875,335.625,,111.875,335.625
Daszyńskiego,Mosty Warszawskie,98.875,38.75,,374.4375,137.625,374.4375
Daszyńskiego,Nowowiejska,92.875,38.75,,377.4375,131.625,377.4375
Dmowskiego,Długa,,33.625,100.5,,33.625,100.5
Dmowskiego,PL. JANA PAWŁA II,69.125,91.0,132.75,244.3125,160.125,377.0625
Dmowskiego,Pomorska,77.375,96.375,246.375,373.0625,173.75,619.4375
Dobroszycka,Bierutowska,,9.375,61.625,,9.375,61.625
Dobroszycka,PSIE POLE (Stacja kolejowa),,30.25,104.5625,,30.25,104.5625
Dobroszów Oleśnicki,Dobroszów-skrzy. Węgierska,,6.625,7.1875,,6.625,7.1875
Dobroszów Oleśnicki,Januszkowice - Wrocławska,,2.75,13.8125,,2.75,13.8125
Dobroszów-skrzy. Węgierska,Dobroszów Oleśnicki,,2.75,13.8125,,2.75,13.8125
Dobroszów-skrzy. Węgierska,Dąbrowica,,6.625,7.1875,,6.625,7.1875
Dolnobrzeska,Mokra,,10.5,42.8125,,10.5,42.8125
Dolnobrzeska,Owczarska,,12.625,44.1875,,12.625,44.1875
Dolnośląska Szkoła Wyższa,Fabryczna,,191.125,628.125,,191.125,628.125
Dolnośląska Szkoła Wyższa,Wrocławski Park Przemysłowy,,180.25,626.4375,,180.25,626.4375
Domaszczyn - skrzy.,Domaszczyn -Trzebnicka,,6.0,12.75,,6.0,12.75
Domaszczyn - skrzy.,Domaszczyn Stawowa,,2.75,7.625,,2.75,7.625
Domaszczyn - skrzy.,Pruszowice - las,,,6.75,,0.0,6.75
Domaszczyn -Trzebnicka,Bukowina - skrzy.,,6.0,12.75,,6.0,12.75
Domaszczyn -Trzebnicka,Domaszczyn - skrzy.,,2.75,14.375,,2.75,14.375
Domaszczyn Kościół,Domaszczyn Wrocławska Skrzyżowanie,,3.875,13.5,,3.875,13.5
Domaszczyn Kościół,Domaszczyn Wrocławska sklep,,2.75,24.4375,,2.75,24.4375
Domaszczyn Stawowa,Domaszczyn - skrzy.,,2.75,4.625,,2.75,4.625
Domaszczyn Stawowa,Domaszczyn Wrocławska Skrzyżowanie,,5.5,10.75,,5.5,10.75
Domaszczyn Stawowa,Pruszowice,,9.375,25.75,,9.375,25.75
Domaszczyn Stawowa,Pruszowice - las,,5.5,7.625,,5.5,7.625
Domaszczyn Wrocławska Skrzyżowanie,Domaszczyn Kościół,,2.75,12.125,,2.75,12.125
Domaszczyn Wrocławska Skrzyżowanie,Domaszczyn Stawowa,,3.875,13.5,,3.875,13.5
Domaszczyn Wrocławska sklep,Domaszczyn Kościół,,5.0,26.0625,,5.0,26.0625
Domaszczyn Wrocławska sklep,Szczodre - pętla,,2.75,24.4375,,2.75,24.4375
Drukarska,Hallera,,12.625,84.0,,12.625,84.0
Drukarska,Rondo,,37.5,129.0,,37.5,129.0
Drukarska,Uniwersytet Ekonomiczny,,58.875,218.0,,58.875,218.0
Drzewieckiego,Hynka,,124.25,408.25,,124.25,408.25
Drzewieckiego,Orlińskiego,,135.75,414.5625,,135.75,414.5625
Dubois,Długa,,2.75,79.75,,2.75,79.75
Dubois,PL. STASZICA,,,1.375,,0.0,1.375
Dubois,Paulińska,97.875,105.375,121.6875,373.625,203.25,495.3125
Dubois,Pomorska,69.125,90.5,218.6875,244.3125,159.625,463.0
Dubois,Rynek,,149.0,293.5,,149.0,293.5
Dubois,Uniwersytet Wrocławski,87.375,50.375,,245.6875,137.75,245.6875
Dubois,pl. Bema,28.75,20.375,101.5625,128.5,49.125,230.0625
Dworska,Górnicza,42.0,142.0,438.8125,121.875,184.0,560.6875
Dworska,STADION WROCŁAW (Królewiecka),44.75,170.125,428.625,120.5,214.875,549.125
Dworzec Główny (Stawowa),Arkady (Capitol),201.5,,,383.5625,201.5,383.5625
Dworzec Główny (Stawowa),Hallera,,3.875,10.75,,3.875,10.75
Dyrekcyjna,Borowska,,168.625,342.3125,,168.625,342.3125
Dyrekcyjna,PETRUSEWICZA,,345.625,,,345.625,0.0
Działdowska,KOWALE,,23.25,,,23.25,0.0
Działdowska,Kowale (Stacja kolejowa),,40.375,49.9375,,40.375,49.9375
Działdowska,Tczewska,,16.5,51.625,,16.5,51.625
Działkowa,Borowska (Szpital),,57.0,164.4375,,57.0,164.4375
Działkowa,GAJ,,99.875,292.4375,,99.875,292.4375
Działkowa,ROD Bajki,,116.125,370.125,,116.125,370.125
Działkowa,Śliczna,,21.0,88.6875,,21.0,88.6875
Dzielna,KOZANÓW,,106.5,353.9375,,106.5,353.9375
Dzielna,Wiślańska,,113.75,354.6875,,113.75,354.6875
Dąbrowica,Dobroszów-skrzy. Węgierska,,2.75,12.4375,,2.75,12.4375
Dąbrowica,Łosice,,6.625,7.1875,,6.625,7.1875
Długa,Dmowskiego,,19.75,104.625,,19.75,104.625
Długa,POPOWICE (Stacja kolejowa),,36.375,180.25,,36.375,180.25
Długa,Pomorska,,5.5,84.9375,,5.5,84.9375
Długołęka - Broniewskiego (na wys. nr 11),Długołęka - Kasztanowa,,2.75,14.5625,,2.75,14.5625
Długołęka - Broniewskiego (na wys. nr 11),Długołęka - Parkowa/skrzy.,,,5.4375,,0.0,5.4375
Długołęka - Broniewskiego (na wys. nr 11),Długołęka - SELGROS pętla,,,1.375,,0.0,1.375
Długołęka - Kasztanowa,Długołęka - Kościół,,,22.75,,0.0,22.75
Długołęka - Kasztanowa,Długołęka - Parkowa/skrzy.,,6.625,36.125,,6.625,36.125
Długołęka - Kasztanowa,Długołęka - SELGROS pętla,,2.75,2.75,,2.75,2.75
Długołęka - Kasztanowa,Długołęka - Wiejska,,17.625,57.25,,17.625,57.25
Długołęka - Kościół,Długołęka - Broniewskiego (na wys. nr 11),,2.75,21.375,,2.75,21.375
Długołęka - Kościół,Długołęka - Nowy Urząd,,,20.0,,0.0,20.0
Długołęka - Kościół,Długołęka Urząd Gminy,,,4.125,,0.0,4.125
Długołęka - Nowy Urząd,Długołęka - Kościół,,2.75,21.375,,2.75,21.375
Długołęka - Nowy Urząd,Kamień - Bursztynowa,,,20.0,,0.0,20.0
Długołęka - Parkowa/skrzy.,Długołęka - Kasztanowa,,12.125,38.5625,,12.125,38.5625
Długołęka - Parkowa/skrzy.,Długołęka - Kościół,,,1.375,,0.0,1.375
